n_base,m_base,density,length,weight_mode,dist_type,dual2,n,mu_pes_bound,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,alpha_pes,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
8,12,dense,short,uniform01,uniform,2.507698525615738,8.0,NaN,1.8892293262743831,NaN,1.8159879545714432,1.7356006793906977,2.721818986100779,1.9677251756915635,1.6970766587820898,NaN,NaN,1.8005835554919059,10.462794657470438,0.18760000000000004,12.0,1.9476680407471503,1.792848219732105,0.0927750237773817,4.436708383126324,NaN,NaN,NaN,0.41683020373029145,0.3032323286750579,NaN,0.08871961050468433,0.1285524762840396,0.010638426105441467,0.04796703595993111,0.1375850827499643,0.08313346890690097,0.9111273473959607,5.31720322874522,NaN,NaN,NaN,1.3832312660959816,1.2744150232942968,NaN,0.922886984933355,0.882034087296116,0.9898069429653132,0.9601083269214195,0.8624561395803897,0.91505845314963
8,12,sparse,short,uniform01,uniform,1.4942594134516511,4.0,NaN,1.161895925218729,NaN,1.0992785662654732,1.0604785730315662,1.6256398454427328,1.1789354984639675,1.1304795100224772,NaN,NaN,1.1718484872165562,5.18863842251932,0.25049999999999994,12.0,1.1722022802435803,1.0883770749180512,0.08361847955583045,3.4677516089752842,NaN,NaN,NaN,0.40286818728611423,0.28476057715897024,NaN,0.07181021123105677,0.11383755561028792,0.008738553347678446,0.021970200428011077,0.04769286417502568,0.007519550595075331,0.9231862780755142,4.4011215450544885,NaN,NaN,NaN,1.3789048235130552,1.2674649422284072,NaN,0.9324331718721853,0.8995221319684253,0.9942887306140498,0.9855466450306745,0.9588985245548857,0.993988635292902
8,12,dense,long,uniform01,uniform,2.342571403463201,8.0,NaN,1.4826345067926834,NaN,1.425882581243129,1.4138434272583502,2.779477009461292,1.5828207230922344,1.341979537244854,NaN,NaN,1.4230443875680179,14.902869288111546,0.1051,20.2,1.5184397387849295,1.3829313892523705,0.13768486006362537,8.51947365145494,NaN,NaN,NaN,0.7922429030178263,0.5013344339409739,NaN,0.10450592596227996,0.11873600333611312,0.0464343224626879,0.07591128802708018,0.15543791456641234,0.10013791023961813,0.8737132191134347,9.415386765341916,NaN,NaN,NaN,1.7560276845701406,1.4799979361444677,NaN,0.9008490730760036,0.8932429343585,0.9593251570642007,0.9367040026467275,0.8478405151425692,0.8990559491715058
8,12,sparse,long,uniform01,uniform,1.4326853567269828,4.0,NaN,0.9082428076492997,NaN,0.9184590926620977,0.8681349859580862,1.6995421994516942,0.9578081507779913,0.9242606302644992,NaN,NaN,0.9475382712694591,7.525106176546819,0.1506,20.2,0.9548793794586645,0.8884749252946532,0.0676206820312488,7.189767080965817,NaN,NaN,NaN,0.8176204642649696,0.5212159500154188,NaN,0.04363889548325371,0.10616858536853821,0.005055060930599653,0.06451892656213168,0.037009024231449396,0.012675279700995001,0.9276126169661206,7.856590247675863,NaN,NaN,NaN,1.7744077434204546,1.495795745278704,NaN,0.9589175994337364,0.9063766948035815,0.9969422150803918,0.9482512827976755,0.9649746971914546,0.9892777280082756
10,15,dense,short,uniform01,uniform,2.8166623913496944,10.0,NaN,2.0276690288029724,NaN,1.9142193381196606,1.690198398116496,2.949068444497922,2.1677967176055652,1.8721108106934192,NaN,NaN,2.0391127410563477,14.913186128246588,0.125,15.0,2.0930289757353657,1.7599567923957828,0.19042575640905426,6.342776788601241,NaN,NaN,NaN,0.3637775372017469,0.30698730537847874,NaN,0.12679746604504633,0.227109757287071,0.04163525014206846,0.06615040239478111,0.14706202635021742,0.06586712021431812,0.8118643127847056,6.879420937918438,NaN,NaN,NaN,1.3603989804705068,1.2993203506926758,NaN,0.8830252959484167,0.7796849143601439,0.9655098002211278,0.9353593961719019,0.8636007221014961,0.9406383562148045
10,15,sparse,short,uniform01,uniform,2.0570884621702845,5.0,NaN,1.5352565041252804,NaN,1.4053114988146793,1.366592750944101,2.237856997528413,1.56345061491133,1.444870865152157,NaN,NaN,1.5328979085996903,9.146170491510716,0.1643,15.0,1.5453225060515796,1.3729361582005002,0.13329313511054788,5.263840658732261,NaN,NaN,NaN,0.4684788733484142,0.33866774356755497,NaN,0.10190811421701636,0.13223316708218946,0.014954152249281483,0.020115817261233238,0.07399074745426183,0.02255494364757733,0.8781448835711163,5.849990018411573,NaN,NaN,NaN,1.4313576496660443,1.3157361304226105,NaN,0.8988525031821235,0.8740875713695672,0.9884050646135832,0.981966740415623,0.9241551036993271,0.9804581570915992
10,15,dense,long,uniform01,uniform,2.493738375051221,10.0,NaN,1.5299096880116394,NaN,1.5126774781028791,1.3509421651391262,2.9023800861453806,1.753916716079776,1.4834245841511506,NaN,NaN,1.614772558625796,21.742553217728812,0.071,26.4,1.6917818502023372,1.4933549747563335,0.162214142049746,12.092621258054546,NaN,NaN,NaN,0.6987183601661394,0.43715637388429884,NaN,0.14996673533729055,0.255563462251959,0.036610943814827865,0.14707553645808286,0.16565922227001031,0.08872431195433358,0.851440071849118,12.396571067710756,NaN,NaN,NaN,1.6547992612970612,1.421811168220712,NaN,0.8624568454332902,0.7702430524515734,0.9645736508992753,0.8722818329887292,0.8457782348222274,0.9206666108040839
10,15,sparse,long,uniform01,uniform,1.8587056798462491,5.0,NaN,1.1929538807948956,NaN,1.1776768651429101,1.1117200956429563,2.1683859301346127,1.2676118200897801,1.1807997529520646,NaN,NaN,1.240622942034368,13.957632347654283,0.08470000000000001,26.4,1.2508922849669828,1.1063218936286179,0.14587645142464808,10.780483463479047,NaN,NaN,NaN,0.8189220854568063,0.5326646696624592,NaN,0.08374672649459458,0.14348993487299508,0.01587434931835996,0.06543490181892217,0.08182964416727959,0.027060702373485634,0.8727607900897147,11.010967337513243,NaN,NaN,NaN,1.7106072188416752,1.466305102546775,NaN,0.9290516595683841,0.8770193508957792,0.9868102088842835,0.941103468655257,0.9315152590391853,0.9787088778854235
12,18,dense,short,uniform01,uniform,3.1258188249272245,12.0,NaN,1.969234925407767,NaN,1.8656389358293306,1.7131753570317656,3.302699433645896,2.2542375857850074,1.717029332393663,NaN,NaN,1.949990499850698,16.95692934296074,0.11209999999999998,18.0,2.091448134972826,1.8365644846885971,0.18257433933484837,6.415008389966521,NaN,NaN,NaN,0.46267107940730423,0.3926735879584774,NaN,0.17002270344678924,0.2471542219537021,0.07376111489538295,0.13202435197096962,0.24049070300203118,0.14237208589268885,0.814716468339356,7.522245858151514,NaN,NaN,NaN,1.4651070741045142,1.3866412505222696,NaN,0.8276141554882501,0.7599799452528317,0.9277851403779641,0.8735702650978592,0.7616896032703363,0.8650332654140538
12,18,sparse,short,uniform01,uniform,2.134031502681031,6.0,NaN,1.4894779731515355,NaN,1.5048634302325374,1.375585935294644,2.343488721978193,1.5966030296793012,1.491139372531607,NaN,NaN,1.5416156207322778,10.39900683525458,0.14409999999999998,18.0,1.5782748097900619,1.4654914992421686,0.08568680648991747,5.497540132622179,NaN,NaN,NaN,0.4663608381375294,0.3403418037111218,NaN,0.059674601496082,0.145365482993014,0.011385418583965046,0.06818226579619535,0.0735074568641709,0.04054980449482713,0.9178809459835059,6.513207504900801,NaN,NaN,NaN,1.467796739962916,1.3366074490724718,NaN,0.9425407582589951,0.8615704152653078,0.9885204903482359,0.9329043885446696,0.9339449724275684,0.965559749089247
