density,dual2,n,mu_pes_bound,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,1.5238593935279223,8,NaN,1,1.0132199802540143,NaN,0.8251158569296402,0.9662498022971078,uniform,8,1.7299050860805028,1.1082526534990267,short,0.8251158569296381,NaN,NaN,12,0.8844849228072932,6.441665348647371,0.15,12,1.0996829289616217,uniform01,0.9662498022971057,0.871867799500788,5.8124519966719195,NaN,NaN,NaN,1.5609302451194376,1.375010823314271,NaN,0.7445196312632739,0.8718677995007899,0.9922673548217112,0.914249992594224,0.7445196312632719,0.7980896053032279,0.12813220049921203,4.8124519966719195,NaN,NaN,NaN,0.5609302451194376,0.37501082331427105,NaN,0.2554803687367261,0.12813220049921015,0.007732645178288755,0.08575000740577599,0.2554803687367281,0.20191039469677208
sparse,1.0857179492462312,4,NaN,1,0.8328603595690423,NaN,0.8251158569296402,0.8251158569296402,uniform,8,1.2379359388391764,0.8325203570141416,short,0.8251158569296381,NaN,NaN,12,0.833049249877319,4.769455820402523,0.173,12,0.8324448008908305,uniform01,0.8251158569296364,0.991105923089903,5.728935971617936,NaN,NaN,NaN,1.4869737759675565,1.3041338149858461,NaN,0.9911059230899075,0.9911059230899075,0.9999092441131625,1.0004084014907697,0.991105923089905,1.0006352912078622,0.008894076910097026,4.728935971617936,NaN,NaN,NaN,0.48697377596755653,0.30413381498584613,NaN,0.008894076910092474,0.008894076910092474,9.075588683749025e-5,0.00040840149076970533,0.008894076910095028,0.0006352912078622097
dense,1.4035343018487574,8,NaN,1,0.8702533007779352,NaN,0.8251158569296402,0.8631134564538279,uniform,8,1.7546947166442655,0.9426607360300923,long,0.8251158569296381,NaN,NaN,12,0.8251158569296381,9.484090309536052,0.087,21,0.8251158569296402,uniform01,0.8251158569296364,0.8753052136280942,10.06097946698959,NaN,NaN,NaN,1.8614276054754983,1.4889071414595896,NaN,0.8753052136280982,0.9156140947258834,0.8753052136280982,0.9231882346589583,0.875305213628096,0.875305213628096,0.12469478637190579,9.06097946698959,NaN,NaN,NaN,0.8614276054754983,0.4889071414595896,NaN,0.12469478637190179,0.0843859052741166,0.12469478637190179,0.07681176534104173,0.12469478637190401,0.12469478637190401
sparse,1.0196777864519366,4,NaN,1,0.8251158569296402,NaN,0.8251158569296402,0.8251158569296402,uniform,8,1.197614364522526,0.8251158569296402,long,0.8251158569296381,NaN,NaN,12,0.8251158569296381,8.1694639299964,0.101,21,0.8251158569296402,uniform01,0.8251158569296364,0.9999999999999954,9.900990099009856,NaN,NaN,NaN,1.4514499442284379,1.235799527894526,NaN,1.0,1.0,1.0,1.0,0.9999999999999974,0.9999999999999974,4.551914400963142e-15,8.900990099009856,NaN,NaN,NaN,0.45144994422843787,0.23579952789452596,NaN,0.0,0.0,0.0,0.0,2.55351295663786e-15,2.55351295663786e-15
dense,2.1501156516637066,8,NaN,2,1.469305833707258,NaN,1.489110006822672,1.4161528149743945,uniform,8,2.4210152607270805,1.5420753550020103,short,1.4891100068226728,NaN,NaN,12,1.5388059186460834,11.818333387481555,0.126,12,1.5422630255555358,uniform01,1.489110006822676,0.9656532036469351,7.663914314658215,NaN,NaN,NaN,1.5699720852642278,1.3942999897439536,NaN,0.9656532036469324,0.9183421616724744,1.0001216999888602,0.952810658014402,0.965653203646933,0.9978798465682485,0.03434679635306492,6.663914314658215,NaN,NaN,NaN,0.5699720852642278,0.39429998974395364,NaN,0.03434679635306759,0.0816578383275256,0.00012169998886024658,0.04718934198559799,0.03434679635306703,0.002120153431751537
sparse,1.3526275814651927,4,NaN,2,1.1447318889173697,NaN,1.1447318889173697,1.1447318889173697,uniform,8,1.4633767232213866,1.1447318889173697,short,1.1447318889173754,NaN,NaN,12,1.1447318889173754,6.980072493398637,0.164,12,1.1447318889173697,uniform01,1.1447318889173765,1.000000000000006,6.097560975609793,NaN,NaN,NaN,1.2783576114101052,1.1816108160876346,NaN,1.0,1.0,1.0,1.0,1.000000000000005,1.000000000000005,5.995204332975845e-15,5.097560975609793,NaN,NaN,NaN,0.2783576114101052,0.18161081608763463,NaN,0.0,0.0,0.0,0.0,5.10702591327572e-15,5.10702591327572e-15
dense,2.263867842173641,8,NaN,2,1.4161528149743945,NaN,1.489110006822672,1.4161528149743945,uniform,8,2.807575355059442,1.4894644195803968,long,1.4891100068226728,NaN,NaN,12,1.4891100068226728,20.123108200306433,0.074,24,1.489110006822672,uniform01,1.489110006822676,0.9997620535589425,13.510298021066792,NaN,NaN,NaN,1.8849563092285049,1.5199207261435654,NaN,0.9997620535589399,0.9507798886349664,0.9997620535589399,0.9507798886349664,0.9997620535589404,0.9997620535589404,0.00023794644105745721,12.510298021066792,NaN,NaN,NaN,0.8849563092285049,0.5199207261435654,NaN,0.00023794644106012175,0.04922011136503357,0.00023794644106012175,0.04922011136503357,0.00023794644105956664,0.00023794644105956664
sparse,1.3340810739165425,4,NaN,2,1.0045029899026174,NaN,0.9286627070764568,0.9286627070764568,uniform,8,1.5711368762342253,1.0025583672660492,long,0.9286627070764585,NaN,NaN,12,1.0047190590844615,9.476150072208778,0.098,24,1.0014780213568446,uniform01,0.9286627070764604,0.9262929096177209,9.451968465486948,NaN,NaN,NaN,1.5671275883105689,1.3306767141693179,NaN,0.9262929096177174,0.9262929096177174,0.9989224109593233,1.001939660273218,0.926292909617719,1.0021551780813565,0.07370709038227907,8.451968465486948,NaN,NaN,NaN,0.5671275883105689,0.3306767141693179,NaN,0.07370709038228263,0.07370709038228263,0.0010775890406766742,0.0019396602732180135,0.07370709038228096,0.002155178081356457
dense,2.9984277890285735,8,NaN,3,2.5773747136024885,NaN,2.437633588994626,2.4338454259781472,uniform,8,3.262528589061006,2.58514367661221,short,2.433845425978152,NaN,NaN,12,2.583688318629962,14.301078532664365,0.156,12,2.587897388648261,uniform01,2.230968251095641,0.8629958447877412,5.532024646075263,NaN,NaN,NaN,1.2620298897028803,1.1598689141169771,NaN,0.9429393078024609,0.9414739490099303,1.0010652065728354,0.9969947654824731,0.9414739490099322,0.9994370301366944,0.13700415521225884,4.532024646075263,NaN,NaN,NaN,0.2620298897028803,0.15986891411697712,NaN,0.057060692197539065,0.05852605099006969,0.0010652065728353755,0.003005234517526878,0.0585260509900678,0.0005629698633056179
sparse,1.3217643335292428,4,NaN,3,0.7581595679549029,NaN,0.8089069341699943,0.4209070018309265,uniform,8,1.4683510550372922,0.9232083018093513,short,0.8177459812084433,NaN,NaN,12,0.9036110095819524,4.190970183807079,0.167,12,0.9124500566204022,uniform01,0.6998920206957823,0.7581084564817038,4.539571595698825,NaN,NaN,NaN,1.590487273738269,1.4317075907341612,NaN,0.8761911397294161,0.4559176959371046,0.9883468929299438,0.8212226498278045,0.8857654113440948,0.9787726213152642,0.24189154351829623,3.539571595698825,NaN,NaN,NaN,0.5904872737382689,0.4317075907341612,NaN,0.12380886027058391,0.5440823040628955,0.011653107070056179,0.17877735017219554,0.11423458865590519,0.021227378684735787
