density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,1.5238593935279223,8,500,NO_OPTIMIZER,NaN,500,1,1.0132199802540143,NaN,0.8251158569296402,0.9662498022971078,uniform,500,8,1.7299050860805028,NO_OPTIMIZER,1.1082526534990267,short,NaN,NaN,NaN,12,NaN,6.441665348647371,0.15,12,500,1.0996829289616217,uniform01,0.9662498022971057,0.871867799500788,5.8124519966719195,NaN,NaN,NaN,1.5609302451194376,1.375010823314271,NaN,0.7445196312632739,0.8718677995007899,0.9922673548217112,0.914249992594224,NaN,NaN,0.12813220049921203,4.8124519966719195,NaN,NaN,NaN,0.5609302451194376,0.37501082331427105,NaN,0.2554803687367261,0.12813220049921015,0.007732645178288755,0.08575000740577599,NaN,NaN
sparse,1.084919802774618,4,500,NO_OPTIMIZER,NaN,500,1,0.8327092473224195,NaN,0.8251158569296402,0.8251158569296402,uniform,500,8,1.241898346458988,NO_OPTIMIZER,0.8330492498773202,short,NaN,NaN,NaN,12,NaN,4.970577451383352,0.166,12,500,0.8329359156923534,uniform01,0.8251158569296364,0.9904766819622584,5.96672699977264,NaN,NaN,NaN,1.4907862249943533,1.302347733863742,NaN,0.9904766819622629,0.9904766819622629,0.9998639525994609,0.9995918577983824,NaN,NaN,0.009523318037741646,4.96672699977264,NaN,NaN,NaN,0.4907862249943533,0.3023477338637419,NaN,0.009523318037737094,0.009523318037737094,0.00013604740053907438,0.0004081422016175562,NaN,NaN
dense,1.404247907831687,8,500,NO_OPTIMIZER,NaN,500,1,0.8748307701541725,NaN,0.8251158569296402,0.8646301674221112,uniform,500,8,1.7434609302128299,NO_OPTIMIZER,0.9367809972525445,long,NaN,NaN,NaN,12,NaN,8.010833562423654,0.103,21,500,0.8251158569296402,uniform01,0.8251158569296364,0.8807990974940704,8.55144754848612,NaN,NaN,NaN,1.861119018560551,1.4990140832811099,NaN,0.8807990974940744,0.9229800454513465,0.8807990974940744,0.9338690395299821,NaN,NaN,0.11920090250592963,7.55144754848612,NaN,NaN,NaN,0.8611190185605511,0.49901408328110985,NaN,0.11920090250592563,0.07701995454865351,0.11920090250592563,0.06613096047001787,NaN,NaN
sparse,1.0224781012933766,4,500,NO_OPTIMIZER,NaN,500,1,0.8251158569296402,NaN,0.8251158569296402,0.8251158569296402,uniform,500,8,1.2005267425366297,NO_OPTIMIZER,0.8251158569296402,long,NaN,NaN,NaN,12,NaN,11.001544759061819,0.075,21,500,0.8251158569296402,uniform01,0.8251158569296364,0.9999999999999954,13.333333333333272,NaN,NaN,NaN,1.454979603717641,1.2391933723079158,NaN,1.0,1.0,1.0,1.0,NaN,NaN,4.551914400963142e-15,12.333333333333272,NaN,NaN,NaN,0.454979603717641,0.23919337230791582,NaN,0.0,0.0,0.0,0.0,NaN,NaN
dense,2.7294628698252086,8,500,NO_OPTIMIZER,NaN,500,2,1.8851047413954476,NaN,1.1049270068329204,1.4171333466430827,uniform,500,8,2.871157118914583,NO_OPTIMIZER,2.0773032642854656,short,NaN,NaN,NaN,12,NaN,7.893175686165596,0.178,12,500,1.665059895768877,uniform01,1.404985272137476,0.6763505821672849,3.79972237172632,NaN,NaN,NaN,1.3821559751422143,1.313945304353078,NaN,0.531904525366923,0.6821985845819855,0.8015487793216418,0.907476907106229,NaN,NaN,0.32364941783271506,2.79972237172632,NaN,NaN,NaN,0.38215597514221433,0.313945304353078,NaN,0.468095474633077,0.31780141541801454,0.1984512206783582,0.09252309289377103,NaN,NaN
sparse,2.424555248481385,4,500,NO_OPTIMIZER,NaN,500,2,1.521578550610847,NaN,1.5073894855448835,0.7399646092513402,uniform,500,8,2.533510996224427,NO_OPTIMIZER,1.688787504932517,short,NaN,NaN,NaN,12,NaN,6.04987617864938,0.165,12,500,1.5720787595243586,uniform01,0.9982295694771478,0.5910924651926748,3.582378576925301,NaN,NaN,NaN,1.5001952518150974,1.4356781071626112,NaN,0.8925868299843431,0.438163242616429,0.9308919890351617,0.900988754456499,NaN,NaN,0.4089075348073252,2.582378576925301,NaN,NaN,NaN,0.5001952518150974,0.43567810716261124,NaN,0.10741317001565687,0.561836757383571,0.06910801096483832,0.09901124554350105,NaN,NaN
dense,2.662314665303429,8,500,NO_OPTIMIZER,NaN,500,2,1.4011807673996692,NaN,1.229891109783511,0.6393813089395592,uniform,500,8,3.2600880411961013,NO_OPTIMIZER,1.688743640611241,long,NaN,NaN,NaN,12,NaN,10.58300729445722,0.088,19,500,1.5637431758951712,uniform01,0.9313046419122353,0.5514778084228045,6.266793277531869,NaN,NaN,NaN,1.930481313324805,1.5765061086120826,NaN,0.7282876336033761,0.37861359981680526,0.9259802010737249,0.8297178646324979,NaN,NaN,0.44852219157719553,5.266793277531869,NaN,NaN,NaN,0.9304813133248051,0.5765061086120826,NaN,0.2717123663966239,0.6213864001831948,0.07401979892627508,0.17028213536750214,NaN,NaN
sparse,2.4066146417361334,4,500,NO_OPTIMIZER,NaN,500,2,1.1757482833812514,NaN,1.248738507761777,0.5836561965285323,uniform,500,8,2.9127916155173357,NO_OPTIMIZER,1.3577415570924982,long,NaN,NaN,NaN,12,NaN,10.464097100137476,0.089,19,500,1.2225962838282423,uniform01,0.9313046419122353,0.6859218803809426,7.7069874200105914,NaN,NaN,NaN,2.145321103491051,1.7725130597679564,NaN,0.919717380114561,0.4298728233511452,0.9004631827329058,0.8659588249615252,NaN,NaN,0.3140781196190574,6.7069874200105914,NaN,NaN,NaN,1.1453211034910509,0.7725130597679564,NaN,0.08028261988543905,0.5701271766488548,0.09953681726709418,0.1340411750384748,NaN,NaN
dense,1.9769158079601907,8,500,NO_OPTIMIZER,NaN,500,3,1.611374560848446,NaN,1.4103210386144092,1.4099830425119761,uniform,500,8,2.1058086890791774,NO_OPTIMIZER,1.6217338110641775,short,NaN,NaN,NaN,12,NaN,9.737681247522987,0.139,12,500,1.6137084713948953,uniform01,1.3535376934056953,0.8346238354107617,6.004488024537853,NaN,NaN,NaN,1.2984921907112186,1.219013745950665,NaN,0.8696378092339089,0.8694293927230566,0.9950513828998755,0.9936122376279904,NaN,NaN,0.16537616458923832,5.004488024537853,NaN,NaN,NaN,0.2984921907112186,0.21901374595066492,NaN,0.13036219076609112,0.13057060727694336,0.004948617100124508,0.006387762372009553,NaN,NaN
sparse,1.1653323004187286,4,500,NO_OPTIMIZER,NaN,500,3,0.8077980413033481,NaN,0.6042592350428344,0.5621743422675568,uniform,500,8,1.2819549545903073,NO_OPTIMIZER,0.8154217420783879,short,NaN,NaN,NaN,12,NaN,4.410651350677638,0.137,12,500,0.8036458772297939,uniform01,0.6042592350428364,0.7410389052205919,5.409043103799941,NaN,NaN,NaN,1.572137322856754,1.4291160515888024,NaN,0.7410389052205895,0.6894277074764509,0.9855585591591179,0.9906506039983578,NaN,NaN,0.2589610947794081,4.409043103799941,NaN,NaN,NaN,0.5721373228567539,0.4291160515888024,NaN,0.25896109477941054,0.3105722925235491,0.014441440840882058,0.009349396001642196,NaN,NaN
