density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,1.5238593935279223,8,0,OPTIMAL,1.9942384778924036,0,1,1.0132199802540105,1.271566706793584,0.8251158569296381,0.9662498022971029,uniform,1092,8,1.7299050860805028,OPTIMAL,1.108252653499026,short,1.0150859806837742,NaN,1.0375165509892792,12,1.0443963521794366,6.441665348647371,0.15,12,1000,1.0996829289616212,uniform01,0.9662498022971057,0.8718677995007885,5.812451996671923,0.936173306432955,1.147361752556094,NaN,1.5609302451194385,1.375010823314272,1.799443900807368,0.7445196312632725,0.871867799500786,0.9922673548217114,0.9142499925942211,0.9159337245698427,0.9423810977415851,0.12813220049921148,4.812451996671923,0.06382669356704496,0.14736175255609396,NaN,0.5609302451194385,0.37501082331427193,0.7994439008073679,0.2554803687367275,0.12813220049921403,0.007732645178288644,0.08575000740577887,0.08406627543015732,0.05761890225841493
sparse,1.0819610664075294,4,0,OPTIMAL,1.6164684824423854,0,1,0.8325581350757959,0.8322559105825498,0.8251158569296381,0.8251158569296381,uniform,601,8,1.2429753140570208,OPTIMAL,0.832633691199107,short,0.8251158569296357,NaN,0.8251158569296364,12,0.8327470253840725,5.500772379530909,0.15,12,500,0.8319914641509617,uniform01,0.8251158569296364,0.9909710184094954,6.606473456063303,0.9909710184094954,0.9995462823321344,NaN,1.492823707706285,1.2994442548311451,1.9413921145977753,0.9909710184094974,0.9909710184094974,0.9992286799646307,0.9999092564664273,0.9909710184094946,1.0001361153003576,0.009028981590504581,5.606473456063303,0.009028981590504581,0.0004537176678656163,NaN,0.4928237077062849,0.2994442548311451,0.9413921145977753,0.009028981590502583,0.009028981590502583,0.0007713200353692828,9.074353357274578e-5,0.009028981590505358,0.00013611530035761987
dense,1.4052783117394072,8,0,OPTIMAL,1.7912770761385315,0,1,0.871861557984922,1.030796577630479,0.8251158569296381,0.8547715461282643,uniform,742,8,1.7460606180702958,OPTIMAL,0.9336481328774419,long,0.8487047022551331,NaN,0.8449129248344236,12,0.2781343964105071,8.968650618800396,0.092,21,845,0.8251158569296381,uniform01,0.8251158569296364,0.8837546264744126,9.60602854863492,0.9049586188647513,1.1040525239991987,NaN,1.8701484602010099,1.5051476699347455,1.9185783305943471,0.8837546264744144,0.9155178659158402,0.8837546264744144,0.9338224190497788,0.9090198677305563,0.29790066151936195,0.11624537352558739,8.60602854863492,0.09504138113524874,0.10405252399919873,NaN,0.8701484602010099,0.5051476699347455,0.9185783305943471,0.11624537352558562,0.08448213408415983,0.11624537352558562,0.0661775809502212,0.09098013226944368,0.702099338480638
sparse,1.025330194680964,4,0,OPTIMAL,1.8929967176983633,0,1,0.8251158569296381,0.8251158569296364,0.8251158569296381,0.8251158569296381,uniform,578,8,1.207668083368083,OPTIMAL,0.8251158569296381,long,0.8251158569296357,NaN,0.8251158569296364,12,0.11659790538838087,9.707245375642781,0.085,21,500,0.8251158569296381,uniform01,0.8251158569296364,0.999999999999998,11.764705882352917,0.999999999999998,0.999999999999998,NaN,1.4636345589842024,1.2426499697828488,2.294219292721445,1.0,1.0,1.0,1.0,0.9999999999999972,0.14131094974014513,1.9984014443252818e-15,10.764705882352917,1.9984014443252818e-15,1.9984014443252818e-15,NaN,0.46363455898420236,0.2426499697828488,1.2942192927214449,0.0,0.0,0.0,0.0,2.7755575615628914e-15,0.8586890502598549
dense,2.7556772741531352,8,0,OPTIMAL,2.1903987453235283,0,2,1.864503919026315,1.9240459650355484,1.4397023317559865,1.4397023317559865,uniform,1982,8,2.8539737614435703,OPTIMAL,1.8851612344496187,short,1.611370611766461,NaN,1.7323862157442291,12,1.8969363464900242,8.226870467177053,0.175,12,1725,1.8164334050382216,uniform01,1.439702331755984,0.7637024915676837,4.364014237529621,0.9189591765873582,1.0206267399707496,NaN,1.513914942281741,1.461772724685625,1.1619158644342829,0.763702491567685,0.763702491567685,0.9635427314356682,0.9890421492624557,0.8547654080298909,1.0062462095152531,0.23629750843231634,3.364014237529621,0.08104082341264185,0.020626739970749597,NaN,0.5139149422817411,0.4617727246856249,0.16191586443428285,0.236297508432315,0.236297508432315,0.036457268564331846,0.010957850737544295,0.14523459197010913,0.0062462095152531205
sparse,1.7988464659131465,4,0,OPTIMAL,1.6815120389625882,0,2,1.2576024643708072,1.3446600087447924,0.9769666554277876,0.9769666554277876,uniform,1212,8,2.0446162193602926,OPTIMAL,1.3128475053390956,short,1.1216237549499002,NaN,1.2666708609152146,12,1.2906527355211677,5.280900840150206,0.185,12,1172,1.2579320632716842,uniform01,0.9769666554277882,0.7441585191384793,4.0224784818296175,0.964827107309806,1.0242316821080297,NaN,1.557390489790502,1.3701869094449945,1.2808129140088287,0.7441585191384789,0.7441585191384789,0.9581707381519323,0.9579196816510543,0.8543442786679142,0.9830941752734678,0.2558414808615207,3.0224784818296175,0.03517289269019397,0.02423168210802973,NaN,0.557390489790502,0.37018690944499455,0.2808129140088287,0.25584148086152114,0.25584148086152114,0.04182926184806768,0.042080318348945656,0.14565572133208582,0.016905824726532237
dense,2.6037057761685625,8,0,OPTIMAL,2.836072026222416,0,2,1.4801904645827202,1.5988483889387288,1.3240381011873674,1.3240381011873674,uniform,1273,8,2.873749754773144,OPTIMAL,1.546133843690016,long,1.1695094763626925,NaN,1.3314344573596595,12,1.5422879487945247,15.395791874271682,0.086,23,951,1.4968905568507147,uniform01,1.3240381011873645,0.8563541291014005,9.957606152341867,0.8611379039359535,1.0340944255659676,NaN,1.8586681654381414,1.6840105963624317,1.8342991700212852,0.8563541291014023,0.8563541291014023,0.9681506959825826,0.9573495015477348,0.7564089494163917,0.9975125731118383,0.14364587089859948,8.957606152341867,0.13886209606404654,0.034094425565967645,NaN,0.8586681654381414,0.6840105963624317,0.8342991700212852,0.1436458708985977,0.1436458708985977,0.03184930401741737,0.042650498452265206,0.2435910505836083,0.0024874268881617256
sparse,1.735650011859841,4,0,OPTIMAL,1.8972339088322732,0,2,1.0467097464381818,1.1298087328030029,0.8764527542015621,0.8764527542015621,uniform,1094,8,2.2497050032156176,OPTIMAL,1.0565461063614594,long,0.8320253285522641,NaN,0.9994139781776519,12,1.0519260106378023,9.526660371756098,0.092,23,783,1.0325019689953756,uniform01,0.876452754201561,0.8295452029253081,9.01679568397074,0.9459255702710793,1.0693416274031293,NaN,2.1293013051395997,1.6427584195422236,1.7956943832446461,0.8295452029253092,0.8295452029253092,0.9772426993755273,0.9906900798137886,0.7874955229522339,0.9956271707445236,0.1704547970746919,8.01679568397074,0.054074429728920737,0.06934162740312932,NaN,1.1293013051395997,0.6427584195422236,0.7956943832446461,0.1704547970746908,0.1704547970746908,0.022757300624472676,0.009309920186211351,0.2125044770477661,0.00437282925547644
dense,2.460589568841631,8,0,OPTIMAL,2.589202980923127,0,3,1.8943495116629767,1.926170947198139,1.7071781164906379,1.7071781164906379,uniform,1821,8,2.567791219432722,OPTIMAL,1.8943808882716682,short,1.7071781164906372,NaN,1.707178116490636,12,1.9153661004434237,7.7599005295028896,0.22,12,1500,1.8962780431459405,uniform01,1.7071781164906357,0.9011799723381784,4.096272601537175,0.9011799723381786,1.0167812392551503,NaN,1.355477789778294,1.2988885097371,1.366780565066499,0.9011799723381795,0.9011799723381795,1.0010014643232614,0.9999834370115926,0.9011799723381791,1.0110776097360765,0.09882002766182163,3.0962726015371747,0.09882002766182141,0.016781239255150293,NaN,0.3554777897782939,0.2988885097370999,0.36678056506649903,0.09882002766182052,0.09882002766182052,0.001001464323261425,1.6562988407353707e-5,0.09882002766182085,0.011077609736076521
sparse,0.8823841987541564,4,0,OPTIMAL,0.9015825439258364,0,3,0.5993586222657934,0.7053665113345746,0.37773032123436195,0.42580525983102824,uniform,1059,8,0.9257633145067916,OPTIMAL,0.6262570524022578,short,0.5576851474825752,NaN,0.6750006428988371,12,0.5487661022610689,1.9985731282241395,0.189,12,1186,0.6147465741388687,uniform01,0.37773032123436234,0.6031553972692644,3.191298398250076,1.0778332001365956,1.1263210667710024,NaN,1.4782481266369114,1.4089808575718568,1.4396365525425354,0.6031553972692638,0.6799209018049105,0.9816202017698066,0.9570488986378919,0.8905051772963709,0.8762633493005124,0.39684460273073563,2.191298398250076,0.07783320013659556,0.1263210667710024,NaN,0.4782481266369114,0.40898085757185676,0.4396365525425354,0.3968446027307362,0.3200790981950895,0.018379798230193423,0.04295110136210811,0.10949482270362909,0.12373665069948758
