Heuristics-only: n=80, m=120, length=short, density=dense, rep=1
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=1
Heuristics-only: n=80, m=120, length=long, density=dense, rep=1
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=1
Heuristics-only: n=80, m=120, length=short, density=dense, rep=2
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=2
Heuristics-only: n=80, m=120, length=long, density=dense, rep=2
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=2
Heuristics-only: n=80, m=120, length=short, density=dense, rep=3
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=3
Heuristics-only: n=80, m=120, length=long, density=dense, rep=3
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=3
Heuristics-only: n=80, m=120, length=short, density=dense, rep=4
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=4
Heuristics-only: n=80, m=120, length=long, density=dense, rep=4
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=4
Heuristics-only: n=80, m=120, length=short, density=dense, rep=5
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=5
Heuristics-only: n=80, m=120, length=long, density=dense, rep=5
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=5
Heuristics-only: n=80, m=120, length=short, density=dense, rep=6
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=6
Heuristics-only: n=80, m=120, length=long, density=dense, rep=6
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=6
Heuristics-only: n=80, m=120, length=short, density=dense, rep=7
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=7
Heuristics-only: n=80, m=120, length=long, density=dense, rep=7
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=7
Heuristics-only: n=80, m=120, length=short, density=dense, rep=8
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=8
Heuristics-only: n=80, m=120, length=long, density=dense, rep=8
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=8
Heuristics-only: n=80, m=120, length=short, density=dense, rep=9
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=9
Heuristics-only: n=80, m=120, length=long, density=dense, rep=9
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=9
Heuristics-only: n=80, m=120, length=short, density=dense, rep=10
Heuristics-only: n=80, m=120, length=short, density=sparse, rep=10
Heuristics-only: n=80, m=120, length=long, density=dense, rep=10
Heuristics-only: n=80, m=120, length=long, density=sparse, rep=10
Finished 80_120 heuristics-only rows=40
