density,dual2,n,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,sdp_orig,lp_cons,m_base,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,alpha_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,mu_pes_bound,alpha_pes_over_pstar,alpha_pes_over_pstar_over_opt,mu_pes_bound_over_opt,alpha_pes_over_pstar_gap,mu_pes_bound_gap,mu_pes_bound_1
dense,1.5238593935279223,8,1,1.0132199802540105,1.271566706793584,0.8251158569296381,0.9662498022971029,uniform,8,1.7299050860805028,1.108252653499026,short,NaN,1.0375165509892792,12,0.15,12,1.0996829289616212,uniform01,0.9662498022971057,0.8718677995007885,0.936173306432955,1.147361752556094,NaN,1.5609302451194385,1.375010823314272,0.7445196312632725,0.871867799500786,0.9922673548217114,0.9142499925942211,0.12813220049921148,0.06382669356704496,0.14736175255609396,NaN,0.5609302451194385,0.37501082331427193,0.2554803687367275,0.12813220049921403,0.007732645178288644,0.08575000740577887,NaN,6.441665348647371,5.812451996671923,1.799443900807368,4.812451996671923,0.7994439008073679,1.9942384778924036
sparse,1.0828093119936935,4,1,0.832444800890829,0.8324825789524837,0.8251158569296381,0.8251158569296381,uniform,8,1.23383169161174,0.8326714692607627,short,NaN,0.8251158569296364,12,0.15,12,0.8328981376306968,uniform01,0.8251158569296364,0.9909260583434736,0.9909260583434736,0.9997731514585857,NaN,1.4817749102261462,1.300404003219902,0.9909260583434756,0.9909260583434756,1.0002722182496961,0.9997277817503042,0.009073941656526419,0.009073941656526419,0.000226848541414304,NaN,0.48177491022614616,0.300404003219902,0.00907394165652442,0.00907394165652442,0.0002722182496961434,0.0002722182496958103,NaN,5.500772379530909,6.606173722289824,1.9569391669557301,5.606173722289824,0.9569391669557301,1.629487411402961
dense,1.3961145879985823,8,1,0.8630753553842495,1.0300127735878704,0.8251158569296381,0.8555299016124062,uniform,8,1.7480503409474204,0.9387718799976768,long,NaN,0.862734278711755,12,0.075,21,0.8251158569296381,uniform01,0.8251158569296364,0.8789311594331931,0.9190031115055237,1.097191762486984,NaN,1.8620608245655446,1.4871712902201943,0.8789311594331949,0.9113288540497436,0.8789311594331949,0.9193664337137851,0.12106884056680689,0.08099688849447628,0.09719176248698402,NaN,0.8620608245655446,0.48717129022019434,0.12106884056680511,0.08867114595025638,0.12106884056680511,0.08063356628621487,NaN,11.001544759061819,11.719082125775907,1.9168775110141751,10.719082125775907,0.9168775110141751,1.7995107047400445
sparse,1.0235614767188013,4,1,0.8251158569296381,0.8251158569296365,0.8251158569296381,0.8251158569296381,uniform,8,1.2017959913818546,0.8251158569296381,long,NaN,0.8251158569296364,12,0.097,21,0.8251158569296381,uniform01,0.8251158569296364,0.999999999999998,0.999999999999998,0.9999999999999981,NaN,1.4565178711434434,1.2405063702539967,1.0,1.0,1.0,1.0,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,NaN,0.45651787114344344,0.24050637025399668,0.0,0.0,0.0,0.0,NaN,8.506349040511715,10.309278350515443,2.2665629335999298,9.309278350515443,1.2665629335999298,1.8701770172422603
dense,3.04955990717468,8,2,2.615565637883026,2.6847962366756524,2.6328619503717055,2.495801149478455,uniform,8,2.9354229802572704,2.6201879575022287,short,NaN,2.6284219061283447,12,0.139,12,2.615329428618671,uniform01,2.398815234322339,0.9155126552864093,1.0031425030416388,1.0246578795954064,NaN,1.120310079989662,1.1638706675385848,1.00483705485066,0.9525275247267571,0.9981457326869827,0.9982358824274542,0.08448734471359065,0.0031425030416387667,0.02465787959540644,NaN,0.12031007998966192,0.1638706675385848,0.004837054850659994,0.04747247527324294,0.0018542673130172993,0.001764117572545798,NaN,17.257663556275816,6.5864219804777635,1.2914150399095505,5.5864219804777635,0.29141503990955053,3.383750135708264
sparse,1.6446744824672852,4,2,1.0893737914888855,1.1372440946598215,1.0063597466031395,1.016614045492302,uniform,8,1.6802850638049374,1.1091850053290884,short,NaN,1.0137656291341985,12,0.133,12,1.0894739030170335,uniform01,0.7277846267808853,0.6561435858619059,0.9139734347864003,1.0252970326824857,NaN,1.5148825991444115,1.4827774217695275,0.9072965661887565,0.9165414611701128,0.9822292023266157,0.9821389454914917,0.3438564141380941,0.08602656521359975,0.02529703268248573,NaN,0.5148825991444115,0.48277742176952754,0.09270343381124346,0.08345853882988719,0.017770797673384298,0.01786105450850828,NaN,5.472064863014174,4.933410420014329,2.3144068279502434,3.9334104200143294,1.3144068279502434,2.5671053497936693
dense,3.0007924223758393,8,2,2.437622641362528,2.59763469611777,2.5181194343646074,2.398815234322341,uniform,8,3.179202344077302,2.536476958723641,long,NaN,2.5294891560676103,12,0.06,23,2.5253519138522615,uniform01,2.398815234322339,0.9457271930155543,0.9972450754452953,1.024111292311878,NaN,1.2533929524347351,1.1830552657122668,0.9927625897424784,0.9457271930155552,0.9956139775553186,0.9610269208158483,0.0542728069844457,0.0027549245547047185,0.02411129231187803,NaN,0.25339295243473514,0.18305526571226682,0.007237410257521559,0.05427280698444481,0.004386022444681448,0.038973079184151715,NaN,39.980253905372315,15.762119883592572,1.0567243956109984,14.762119883592572,0.0567243956109984,2.680357081188463
sparse,1.6194686836375156,4,2,0.8342748213461049,0.9476250844314658,0.9032470744398928,0.5696832716201453,uniform,8,1.7955967412989369,0.9219541584756217,long,NaN,0.9277434551195565,12,0.09,23,0.9135013733290555,uniform01,0.7277846267808853,0.7893935073563957,1.0062793758135513,1.0278440372765267,NaN,1.9475987225523383,1.756560962114623,0.9797093121564097,0.6179084571428927,0.9908316643849817,0.9048983766454423,0.21060649264360431,0.006279375813551313,0.027844037276526734,NaN,0.9475987225523383,0.756560962114623,0.020290687843590338,0.38209154285710734,0.009168335615018286,0.09510162335455774,NaN,8.086495853120947,8.771038970626618,2.0070751057479406,7.771038970626618,1.0070751057479406,1.8504312401172118
dense,2.2964380441115875,8,3,1.546706309404463,1.8645846272562459,0.969610852794674,1.318286872590813,uniform,8,2.5461463618214,1.6666881212890816,short,NaN,1.5209247872071574,12,0.135,12,1.6519779102515573,uniform01,0.9696108527946764,0.5817590228247032,0.9125431253633792,1.1187363751138415,NaN,1.5276681517668171,1.377845089779264,0.5817590228247017,0.7909619416806057,0.9911739869927513,0.9280118395565092,0.41824097717529685,0.08745687463662077,0.1187363751138415,NaN,0.5276681517668171,0.377845089779264,0.4182409771752983,0.20903805831939426,0.008826013007248723,0.07198816044349077,NaN,7.182302613293899,4.309326094997801,1.7312088214259054,3.309326094997801,0.7312088214259054,2.8853851781414273
sparse,1.2134849826935121,4,3,0.9112740626002145,0.9544167027107202,0.6658649235619847,0.6658649235619847,uniform,8,1.3209603142278392,0.9012568308546334,short,NaN,0.6658649235619857,12,0.142,12,0.9071138092533612,uniform01,0.6658649235619857,0.7388181712093843,0.7388181712093843,1.0589841541679934,NaN,1.4656868819237845,1.3464363776780506,0.7388181712093832,0.7388181712093832,1.006498678510069,1.011114736002702,0.2611818287906157,0.2611818287906157,0.05898415416799341,NaN,0.4656868819237845,0.3464363776780506,0.2611818287906168,0.2611818287906168,0.0064986785100689115,0.011114736002701964,NaN,4.689189602549195,5.202944867671722,1.8606199099622078,4.202944867671722,0.8606199099622078,1.6768964034775726
